Wavenumber,300K,310K,320K,330K,340K,350K,360K,370K,380K,390K,400K,410K,420K,430K,440K,450K,460K,470K,480K,490K,500K,510K,520K,530K,540K,550K,560K,570K,580K,590K,600K,610K,620K,630K,640K,650K,660K,670K,680K,690K,700K
929.312,3500.34,5730.8,5931.3,6229.73,5140.15,5258.28,5873.79,5811.62,5077.98,6166.01,6405.37,6080.52,6640.08,7249.37,7372.16,8023.43,7457.65,5894.0,7003.79,6983.58,6602.77,7045.75,5915.76,5914.21,5115.28,5385.74,5294.03,5217.87,3927.78,3298.28,3108.65,3020.05,2679.66,2850.63,2723.18,2418.53,2522.67,2499.35,2238.23,3944.88,3461.48
927.703,3499.47,5732.48,6001.31,6322.98,5110.9,5249.2,5886.32,5866.12,5256.97,6108.53,6405.34,6057.25,6672.61,7162.1,7350.13,8193.92,7326.82,5923.61,7019.14,7146.56,6613.56,6943.0,5738.7,6016.85,5110.9,5323.79,5336.23,5193.26,4004.5,3334.75,3236.85,2949.38,2734.93,2776.89,2770.67,2397.73,2610.62,2490.96,2298.28,3925.25,3493.25
926.0939999999999,3604.25,5768.35,6006.04,6441.03,5322.48,5373.74,6030.9,5799.42,5212.17,6226.64,6495.41,6315.2,6723.78,7415.11,7318.79,8072.27,7627.95,6007.59,7074.88,7261.31,6726.89,7127.71,5864.67,5981.18,5188.87,5359.76,5462.3,5227.71,3972.44,3403.84,3200.32,3032.54,2678.33,2880.29,2835.24,2571.13,2611.52,2456.17,2321.01,4124.69,3487.73
924.4839999999999,3541.23,5807.31,6156.77,6464.3,5391.06,5440.76,6043.39,5957.96,5304.08,6343.15,6582.34,6371.11,6743.87,7335.63,7428.82,8278.4,7739.45,6206.47,7166.33,7222.24,6670.87,7113.52,5936.22,6152.11,5304.08,5363.1,5350.67,5425.23,4092.61,3270.98,3258.55,3011.6,2794.15,2842.3,2780.18,2412.07,2739.79,2528.56,2436.93,4004.07,3595.59
922.8739999999999,3572.97,6038.8,6268.61,6774.82,5271.72,5583.83,6130.41,5995.32,5298.12,6380.41,6588.49,6273.27,6872.65,7375.75,7594.69,8354.01,7690.97,6125.75,7206.5,7287.24,6897.49,7138.17,5836.94,6161.47,5268.61,5436.32,5385.07,5378.86,4131.97,3388.19,3304.34,3026.39,2728.25,2936.32,2931.67,2503.1,2650.61,2577.63,2352.48,4107.13,3628.87
921.263,3721.13,6085.44,6318.31,6617.92,5351.15,5507.95,6149.09,6035.77,5296.82,6381.95,6600.84,6420.76,6979.63,7392.57,7470.19,8359.72,7651.83,6128.91,7263.72,7294.77,6787.13,7280.8,5903.81,6222.06,5287.51,5546.76,5593.33,5472.24,4036.26,3500.68,3329.92,3104.82,2707.4,2941.82,2857.99,2550.61,2665.49,2550.61,2459.02,4008.32,3596.93
919.653,3735.74,6107.24,6537.15,6787.03,5484.88,5654.05,6273.31,6060.68,5352.95,6538.71,6684.6,6312.11,6906.54,7487.0,7528.9,8308.02,7887.42,6146.04,7314.72,7465.27,6850.66,7185.9,6037.4,6180.19,5262.94,5587.31,5523.68,5411.93,4091.15,3515.35,3406.71,3169.25,2891.43,3029.56,2956.62,2576.37,2737.78,2571.72,2396.34,4188.93,3642.62
918.0419999999999,3741.04,6217.48,6392.81,6903.31,5499.06,5744.22,6205.06,6161.62,5333.03,6467.29,6800.9,6392.81,6928.13,7556.55,7491.38,8358.76,7781.54,6250.06,7205.88,7547.24,6802.45,7385.87,6021.97,6212.82,5334.59,5637.16,5567.33,5472.68,4242.22,3481.91,3385.71,3135.89,2833.32,2994.69,2941.94,2554.02,2726.26,2723.15,2422.13,4183.26,3713.11
916.43,3848.72,6341.63,6686.01,6945.07,5632.69,5727.32,6315.25,6223.73,5570.64,6575.87,6687.56,6489.0,7087.79,7647.8,7717.61,8513.42,8023.21,6346.28,7370.12,7533.01,7049.01,7294.11,6096.52,6395.92,5463.6,5621.83,5721.11,5524.1,4269.12,3470.21,3381.79,3223.56,2983.11,3045.16,2995.52,2644.93,2767.48,2668.2,2531.69,4314.11,3768.06
914.818,3852.45,6375.77,6640.97,7053.51,5760.06,5749.2,6442.46,6422.29,5451.43,6419.19,6831.73,6521.55,7022.49,7577.72,7720.4,8650.94,7895.65,6442.46,7469.16,7490.87,7051.96,7292.35,6057.83,6299.77,5459.18,5497.96,5761.61,5634.44,4184.34,3537.61,3484.88,3275.51,2973.08,2988.59,3022.71,2579.15,2788.53,2729.59,2548.14,4277.39,3767.15
913.206,3924.4,6447.11,6665.74,7039.41,5665.64,5733.87,6406.8,6324.62,5732.32,6560.3,6955.69,6560.3,7109.19,7555.74,7796.07,8439.54,8092.23,6457.96,7361.92,7622.41,6940.18,7406.89,6059.48,6281.2,5374.14,5727.66,5781.93,5634.63,4194.19,3555.37,3507.3,3217.35,2888.64,3043.69,3062.3,2702.58,2787.86,2792.51,2460.69,4343.04,3902.69
911.5930000000001,4008.72,6568.03,6805.21,7198.95,5709.24,5943.32,6647.09,6335.51,5766.6,6656.39,6923.02,6569.58,7102.84,7750.8,7772.51,8724.3,8059.28,6419.22,7555.48,7668.64,7050.13,7484.18,6115.38,6457.97,5594.53,5682.89,5710.79,5678.24,4301.7,3616.52,3515.76,3258.44,3008.86,3171.63,3094.12,2675.58,2849.2,2751.54,2539.16,4484.61,3945.16
